Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007,Binding Site 008,Binding Site 009,Binding Site 010,Binding Site 011,Binding Site 012,Binding Site 013
6OB3.A,19,7,15,4,7,8,0,13,5,0,0,11,0,0
6CU6.B,15,4,17,8,9,0,0,12,2,0,0,0,0,0
6GQX.E,11,4,5,11,9,12,0,14,4,18,0,0,0,0
5VQ1.B,17,13,0,7,12,0,11,12,6,0,3,7,0,0
3GFT.F,11,2,17,13,6,0,0,16,13,3,0,0,0,0
4Q02.A,12,5,9,4,7,17,0,0,3,15,0,0,0,0
4TQ9.A,15,17,3,3,8,13,0,0,9,14,0,0,0,0
5OCO.A,22,9,9,4,10,19,0,4,10,6,0,0,0,0
5VQ8.B,16,11,2,7,4,0,3,15,9,9,0,0,0,0
6WS2.C,16,0,6,7,8,0,11,11,7,0,0,0,0,0
4NMM.A,24,9,2,5,11,16,0,0,7,15,0,0,0,0
6M9W.A,0,1,6,12,7,9,0,14,4,6,17,2,2,0
4EPY.A,25,11,8,3,10,18,0,0,6,12,0,0,0,0
7EWA.A,21,18,11,0,7,0,0,6,0,18,0,0,0,0
7EWA.B,20,17,0,5,10,1,0,8,1,9,0,0,0,0
5V9O.A,25,18,0,6,7,0,0,10,5,1,0,0,0,0
4TQ9.B,20,20,4,8,9,15,0,0,6,17,0,0,0,0
6GOG.E,19,15,0,10,5,15,0,13,0,8,0,0,0,0
6F76.C,15,0,18,11,9,2,0,9,7,0,0,0,0,0
6CCH.B,18,2,17,7,8,8,7,2,0,1,0,0,6,8
4EPW.A,24,6,10,8,6,16,0,0,6,15,0,0,0,0
6V6F.C,27,2,4,13,9,7,0,3,13,2,0,2,0,0
6VJJ.A,19,0,20,4,5,5,0,3,5,5,0,1,0,0
6QUU.B,18,6,2,9,6,17,2,10,0,6,0,0,0,0
4Q01.A,19,0,4,15,11,16,3,2,12,3,0,0,0,0
6ZLI.A,13,1,0,4,7,18,8,6,3,5,10,0,16,10
7YCC.A,28,15,0,2,9,0,4,11,2,3,1,7,0,0
6GOM.C,17,0,0,9,8,7,0,14,4,4,0,0,0,0
6GJ5.A,24,4,23,5,9,10,0,2,0,5,0,0,0,0
5V71.C,25,17,10,3,7,0,3,10,4,0,0,0,0,0
6OB2.A,26,3,7,12,8,5,3,2,13,1,0,6,0,0
6MQN.A,14,6,3,19,16,10,0,15,15,19,1,0,0,0
7KFZ.A,12,11,15,7,19,10,0,4,0,11,12,13,0,0
6YXW.C,14,15,3,8,9,0,0,0,9,2,0,0,0,0
7EWB.A,12,15,15,2,6,0,0,11,0,11,0,0,0,0
3GFT.E,27,11,14,8,3,6,0,13,5,10,0,0,0,0
5USJ.A,22,5,7,12,9,2,0,0,5,9,0,0,0,0
6GQT.D,15,3,4,11,9,15,0,13,12,1,0,0,0,0
8AFD.B,19,14,0,6,9,6,0,0,3,9,0,0,0,0
5V9L.C,18,12,10,3,11,0,9,9,3,0,0,0,0,0
3GFT.B,19,10,5,9,5,5,0,12,11,3,0,0,0,0
6FA3.B,20,17,2,3,4,15,0,4,10,7,0,0,0,0
7ACH.B,24,2,4,10,6,9,3,10,7,5,0,0,0,0
5V71.F,22,17,4,5,10,0,13,4,4,1,0,0,0,0
6QUX.B,14,2,3,9,7,16,2,11,6,4,0,0,0,0
6PTS.B,14,2,18,4,1,0,10,2,7,0,0,0,0,0
6FA1.B,24,14,5,2,7,4,0,9,10,2,0,0,0,0
6FA3.E,25,7,3,8,6,17,0,12,5,1,1,0,0,0
6GQY.B,17,6,0,4,6,14,0,10,10,1,0,0,0,0
7MDP.A,22,12,7,7,8,17,4,2,4,6,0,0,0,0
7ROV.B,19,11,19,6,9,0,0,11,3,1,0,0,0,0
7ACF.A,13,9,3,8,8,7,0,9,11,4,0,3,0,0
5OCT.C,13,3,3,5,5,17,0,11,12,1,0,0,0,0
5US4.A,22,5,0,7,12,0,3,11,11,0,1,7,0,0
6F76.E,14,12,5,11,8,5,0,8,5,2,0,0,0,0
4PZZ.A,25,10,9,5,9,16,0,0,5,13,0,0,0,0
7A47.C,20,2,0,5,12,2,0,14,4,4,10,17,0,0
6FA3.C,14,13,4,3,6,16,0,12,6,13,0,0,0,0
6O46.B,15,4,8,7,9,14,0,4,5,19,0,0,0,0
5VQ6.B,16,14,1,4,10,0,12,15,2,4,0,0,0,0
6FA1.A,23,4,13,5,8,6,0,12,8,1,0,0,0,0
7A1Y.A,18,3,6,9,12,4,0,14,9,3,0,0,0,0
4WA7.A,25,14,0,10,11,0,0,16,7,6,0,0,0,0
6WS2.A,14,17,2,4,9,0,16,11,4,6,0,0,0,0
6EPP.R,15,5,6,11,19,9,0,7,7,9,12,16,0,0
6GQT.E,23,5,3,9,10,15,0,11,0,7,0,0,0,0
5OCT.F,17,4,5,8,5,10,0,10,12,2,0,0,0,0
6GQX.C,24,2,0,5,8,17,0,13,10,4,1,0,0,0
7LGI.A,19,9,4,6,8,13,0,2,5,8,0,0,0,0
6F76.F,23,3,10,9,8,5,0,4,11,3,1,0,0,0
5KYK.B,17,16,5,9,4,5,11,0,10,13,0,0,0,0
6QUV.A,21,2,0,8,8,16,6,11,6,5,0,0,0,0
6FA4.C,22,9,0,7,10,16,0,10,6,9,0,0,0,0
6FA4.B,16,16,7,5,7,11,0,4,8,0,0,0,0,0
6GOM.A,19,11,9,7,9,6,0,12,0,4,0,1,0,0
7EW9.C,19,0,20,3,10,0,0,10,3,0,0,12,0,0
5TB5.A,0,0,8,5,10,14,24,14,6,12,3,8,0,0
6MS9.A,10,4,8,14,15,3,3,16,14,15,0,0,0,0
6MBU.B,26,15,5,13,7,0,0,12,10,6,0,0,0,0
6GJ8.A,22,2,8,10,7,5,12,5,9,2,0,0,0,0
6WS2.D,14,0,4,9,9,0,19,13,6,0,0,0,0,0
5VQ0.A,21,12,0,9,10,0,5,15,6,1,1,5,0,0
6GQW.D,19,0,5,9,9,16,0,10,11,0,0,0,0,0
6GQT.C,10,1,0,7,8,11,0,15,7,9,0,0,0,0
6EPN.R,18,10,4,8,26,7,0,4,3,11,20,16,0,0
4EPX.A,24,10,10,8,10,17,0,0,5,14,0,0,0,0
5OCT.E,23,5,0,8,6,8,0,13,8,4,0,0,0,0
5VQ6.A,26,13,0,6,12,0,7,15,2,5,0,1,0,0
5USJ.E,17,2,4,9,9,9,0,12,11,0,0,0,0,0
5VQ8.A,30,8,2,8,4,0,5,14,8,6,0,0,0,0
6FA3.D,15,2,11,4,6,15,0,7,9,1,5,0,0,0
6MTA.A,20,11,16,3,8,0,0,10,5,2,0,0,0,0
