Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007,Binding Site 008,Binding Site 009,Binding Site 010,Binding Site 011,Binding Site 012,Binding Site 013
4RN6.B,28,10,14,5,0,0,0,4,0,0,3,11,0,1
1ZGV.A,26,18,14,11,0,0,0,10,1,0,3,5,0,0
1TA2.A,24,20,15,14,0,0,0,4,0,0,0,5,1,0
1HAG.E,19,17,10,17,0,0,0,6,0,0,4,5,1,4
3SQE.E,16,16,17,15,0,0,0,9,0,0,1,2,0,10
1D6W.A,28,16,18,6,0,0,0,2,1,0,8,3,0,2
1NM6.A,30,16,13,0,0,0,0,10,0,0,7,5,0,2
6V5T.E,8,11,6,6,18,3,15,10,0,10,10,0,0,0
1ZRB.A,27,13,13,12,0,0,0,10,2,0,3,0,14,0
3K65.B,13,7,17,13,0,0,0,5,16,0,0,0,2,2
1D9I.A,22,13,14,15,0,0,0,8,0,0,5,3,0,0
1TA6.A,27,15,15,11,0,0,0,7,0,0,7,7,0,0
1EOJ.A,28,17,14,16,0,0,0,6,1,0,3,4,1,0
1Z71.A,31,15,14,2,0,0,0,9,1,0,5,3,0,1
4RN6.A,19,15,8,8,0,0,0,3,0,0,8,9,0,0
1NU9.D,28,11,17,0,0,15,0,0,0,0,7,4,0,0
2BDY.A,28,0,12,9,0,0,0,14,2,0,6,4,5,0
1DOJ.A,20,16,15,13,0,0,0,5,4,0,4,3,1,1
1NT1.A,29,16,19,6,0,0,0,9,0,0,5,2,0,0
1JWT.A,27,0,0,14,0,0,0,14,8,0,6,3,1,0
1SL3.A,28,16,20,7,0,0,0,9,0,0,2,0,1,1
1MH0.A,23,15,13,5,0,0,0,9,1,0,7,0,0,1
3C1K.A,27,15,12,3,0,0,0,9,0,0,8,5,0,0
1G37.A,28,16,15,5,0,0,0,9,2,0,3,5,2,0
1NU9.A,17,12,10,0,0,21,0,2,0,0,8,0,0,4
1ZGI.A,28,19,12,9,0,0,0,10,1,0,9,0,0,0
4H6T.A,17,17,15,13,0,0,0,8,10,0,0,5,0,2
1XM1.A,30,16,14,11,0,0,0,0,0,0,0,4,3,0
1MH0.B,23,16,14,13,0,0,0,9,1,0,0,5,0,0
3SQH.E,22,17,16,15,0,0,0,11,0,0,0,2,2,0
1EOL.A,31,16,12,16,0,0,0,6,1,0,4,3,3,0
