Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007,Binding Site 008,Binding Site 009,Binding Site 010,Binding Site 011,Binding Site 012
4OPY.A,24,18,16,15,18,4,4,5,0,0,0,4,3
1NY0.A,20,15,0,16,8,7,8,6,0,0,0,0,0
4OPQ.A,17,11,14,12,5,6,4,4,0,0,0,7,0
2V20.A,17,14,19,10,0,3,0,6,0,0,0,7,0
1BT5.A,16,13,18,7,2,9,8,8,7,0,0,0,0
1NXY.A,17,17,16,0,3,11,16,10,0,0,0,0,0
5KKF.D,13,12,15,13,3,7,0,8,0,0,0,2,0
5HW5.A,24,17,17,15,5,8,0,6,0,0,0,4,0
1JTG.C,21,14,0,16,5,2,0,8,2,0,9,0,0
5HVI.C,24,19,15,15,4,12,5,8,0,0,0,0,0
1ERO.A,17,15,4,18,8,7,2,8,0,0,0,0,0
1PZO.A,17,13,9,5,0,21,0,0,0,8,0,0,0
1HTZ.C,14,13,17,12,8,2,0,4,0,0,0,0,0
1LI0.A,15,14,11,16,3,5,10,8,0,0,2,0,0
5HW1.B,18,15,15,17,5,9,2,7,0,0,0,0,0
8DDZ.D,18,14,16,17,4,9,0,9,0,0,0,2,1
4OQI.A,22,13,19,15,3,0,0,8,0,0,0,5,0
1ZG4.A,24,17,7,15,2,4,12,5,2,0,0,0,0
4IBR.A,15,15,17,15,0,12,0,5,0,0,0,6,0
2V1Z.A,19,15,17,12,0,2,3,6,0,0,0,5,0
4RX2.D,18,15,15,4,14,4,0,0,0,0,0,0,0
5HW5.B,19,12,17,16,5,8,0,6,3,0,0,0,0
4RX3.A,19,17,5,3,14,3,0,0,0,0,0,0,0
4OQG.F,19,12,0,16,0,4,14,7,6,0,0,0,0
1M40.A,19,18,13,18,7,3,4,6,0,0,0,0,0
7QLP.E,18,18,15,13,6,5,0,6,0,0,0,0,0
3JYI.B,19,14,18,5,7,6,13,4,0,0,0,0,0
7QNK.B,18,25,14,10,3,4,0,2,0,0,11,0,0
5KPU.A,17,15,15,12,0,11,4,6,0,0,0,0,0
8DE2.A,16,12,5,17,4,5,9,9,0,0,0,0,0
1HTZ.F,14,12,13,7,9,5,4,7,0,0,0,0,0
3DTM.A,29,16,4,8,11,5,0,14,9,0,0,0,0
5HW5.C,19,12,17,13,6,9,0,9,0,0,0,0,1
7QLP.B,20,20,17,10,6,9,0,12,0,0,0,0,0
3TOI.A,19,12,13,13,0,7,3,11,0,0,0,3,0
8DE0.C,18,14,18,15,7,2,0,4,0,0,0,5,0
4RX2.E,13,12,16,7,13,7,0,0,0,0,0,0,0
6B2N.D,16,10,10,15,0,16,8,13,5,0,0,4,2
6APA.C,20,15,18,12,4,5,0,8,3,0,0,0,0
3JYI.F,20,13,18,7,7,4,12,4,0,0,0,0,0
1LI9.A,19,18,18,16,4,13,0,10,0,0,0,0,0
5IQ8.A,15,15,17,15,2,14,0,7,0,0,0,0,0
4RVA.A,15,13,3,10,15,4,0,0,0,0,0,0,0
7QNK.C,18,23,13,8,5,5,0,4,0,0,11,0,0
3C7U.A,25,15,0,12,3,4,7,4,0,0,0,5,0
4OQG.A,18,13,12,15,4,4,8,5,2,0,0,0,0
1BTL.A,18,12,0,19,7,7,11,6,4,0,0,0,0
8DDZ.A,15,15,17,17,4,10,6,9,0,0,0,7,0
1JWV.A,21,17,18,13,5,7,4,8,0,0,0,0,0
1S0W.B,17,14,14,13,7,10,0,10,0,0,0,0,0
2B5R.B,19,13,16,12,15,2,0,4,0,0,0,0,0
8DDZ.B,17,16,17,18,4,8,2,8,0,0,0,3,0
5KPU.D,23,19,17,15,4,8,0,4,0,0,0,0,0
5I52.A,24,22,15,15,0,3,7,4,0,0,0,0,0
3JYI.E,20,15,17,6,7,7,10,7,0,0,0,0,0
5I63.D,14,13,15,16,2,6,5,5,0,0,0,0,0
4RX2.H,18,10,16,10,13,5,0,0,0,0,0,0,0
4QY6.A,17,20,0,7,18,2,0,0,0,0,6,0,0
4OPZ.A,19,10,17,15,6,1,10,7,3,0,0,3,0
5IQ8.C,23,20,17,16,9,3,0,9,0,0,0,0,0
5HVI.A,22,12,17,16,5,6,2,9,0,0,0,0,0
4RX2.B,20,12,15,5,13,5,0,0,0,0,0,0,0
1HTZ.A,14,12,15,12,9,5,0,7,0,0,0,0,0
4OPR.A,17,16,17,17,0,3,2,11,0,0,0,4,0
5KKF.B,29,18,18,14,3,3,0,5,0,0,0,0,0
3JYI.C,19,13,16,7,7,5,12,4,0,0,0,0,0
5I63.C,23,17,17,15,4,14,4,4,2,0,0,2,0
4IBX.A,23,16,16,13,3,3,0,9,4,0,0,0,0
1CK3.A,22,16,24,15,5,5,0,4,11,0,0,0,0
8DE0.A,13,13,17,14,3,7,4,7,0,0,0,6,0
1JTG.A,24,12,9,16,4,3,0,7,0,0,0,0,0
4OQG.C,18,17,0,14,6,6,9,12,3,0,0,2,0
5KKF.C,25,18,16,14,3,14,4,8,0,0,0,0,0
8DE2.C,16,13,16,14,3,6,6,7,0,0,0,0,0
3JYI.A,20,13,16,6,8,4,12,4,0,0,0,0,0
1HTZ.D,14,13,16,12,10,5,0,3,0,0,0,0,0
6B2N.C,10,12,2,11,18,15,7,5,0,0,6,0,0
4R4S.A,26,26,0,8,16,6,0,0,0,0,7,0,0
7U6Q.A,15,15,19,16,4,5,0,12,0,0,0,0,0
1HTZ.B,22,20,17,13,9,5,0,4,0,0,0,0,0
7QLP.F,16,13,17,14,6,8,0,9,0,0,0,0,0
2B5R.A,15,10,18,16,12,6,0,2,0,0,0,0,0
1TEM.A,17,14,2,16,4,8,12,8,4,0,0,0,0
6AYK.C,18,16,16,11,3,7,0,11,4,0,0,0,0
5IQ8.D,23,21,17,12,8,6,5,6,0,0,0,0,0
4ZJ3.A,16,16,13,4,0,3,0,0,0,0,9,6,0
1PZP.A,20,9,8,0,0,21,0,5,0,10,0,0,0
6AYK.A,20,20,17,12,6,11,5,7,0,0,0,0,0
5I52.B,17,17,21,14,2,3,0,7,0,0,0,0,0
3GMW.A,16,14,16,10,2,3,8,10,2,0,0,2,2
1JTD.A,13,12,16,13,2,7,0,8,0,0,0,9,0
7QLP.C,20,16,16,14,4,5,3,8,0,0,0,0,0
4OQG.D,20,17,0,4,8,5,8,11,0,0,0,0,0
3JYI.D,18,13,17,6,8,5,10,4,0,0,0,0,0
1NYY.A,26,18,7,16,5,9,3,10,0,0,0,0,0
4OQG.E,23,19,0,0,5,5,4,7,14,0,0,0,0
8DE1.B,21,17,18,12,2,9,0,9,0,0,0,2,0
6APA.D,15,10,18,12,0,8,5,0,8,0,0,0,0
6AYK.B,17,12,16,16,5,6,0,4,0,0,0,0,0
5I63.B,22,19,16,13,0,5,5,5,0,0,0,0,0
8DE2.D,20,15,0,16,6,7,13,12,0,0,0,0,0
1JWP.A,13,13,2,17,6,3,15,8,0,0,0,0,0
4IBX.E,22,18,7,6,7,12,11,9,0,0,0,0,0
4R4R.A,18,20,0,6,17,2,0,0,0,0,6,0,0
1YT4.A,24,16,16,12,7,11,2,3,2,0,0,0,0
4OQH.A,12,11,20,8,0,3,8,10,12,0,0,5,0
4RX2.F,16,10,16,6,16,5,0,0,0,0,0,0,0
6APA.A,29,17,17,15,3,10,0,9,0,0,0,0,0
4IBX.D,27,19,22,0,0,6,11,8,7,0,0,0,0
5KKF.A,20,20,16,17,0,4,0,11,0,0,0,0,0
4RX2.C,16,10,15,6,19,5,0,0,0,0,0,0,0
4RX2.A,18,12,16,11,18,4,0,0,0,0,0,0,0
8DE1.A,19,11,17,13,3,9,2,5,0,0,0,0,0
5HVI.B,18,14,14,16,7,6,0,5,2,0,0,0,0
5NPO.A,18,14,18,12,5,8,3,6,0,0,0,7,0
6AYK.D,18,18,16,13,7,10,5,9,2,0,0,0,0
7QLP.A,14,14,14,11,11,5,0,6,0,0,0,0,0
1NYM.A,16,16,7,13,2,6,10,8,0,0,0,0,0
6APA.B,17,17,16,13,3,6,5,6,0,0,0,0,0
4IBX.B,14,12,17,8,8,6,0,4,2,0,0,0,0
1S0W.A,20,16,0,15,13,3,6,7,0,0,0,0,0
5KPU.C,20,18,18,16,2,13,0,9,0,0,0,0,0
1XPB.A,18,15,0,17,5,3,6,7,0,0,0,0,0
5IQ8.B,16,16,13,13,0,14,0,6,0,0,0,0,0
3CMZ.A,21,21,0,16,6,12,0,10,6,0,0,0,0
3P98.A,25,21,22,13,6,9,0,4,0,0,0,0,0
8DE0.D,16,11,17,12,5,7,0,11,0,0,0,2,0
4ZJ1.A,20,16,15,11,0,4,0,0,0,0,11,9,0
1JWZ.A,17,14,16,13,0,6,0,4,0,0,0,0,0
3C7V.A,22,15,15,6,9,6,0,8,0,0,0,0,0
1JVJ.A,29,19,8,15,3,4,5,5,0,0,0,0,0
4QY5.A,18,22,2,9,18,8,0,0,0,0,1,0,0
4IBX.C,22,16,15,16,6,4,7,2,0,0,0,0,0
5I52.C,20,18,16,13,2,5,12,5,0,0,0,0,0
3P98.B,20,18,27,11,0,12,2,4,0,0,0,0,0
5I63.A,15,15,16,14,0,8,5,6,0,0,0,0,2
8DDZ.C,27,20,14,13,4,11,2,7,0,0,0,3,1
1LHY.A,22,21,15,13,0,21,2,0,0,0,0,0,0
5HW1.A,13,13,17,16,4,8,2,8,0,0,0,0,0
1ZG6.A,20,14,12,18,4,9,2,9,0,0,0,0,0
6B2N.B,19,1,17,8,12,15,10,8,0,0,0,0,0
1FQG.A,27,22,7,12,0,7,2,11,0,0,0,0,0
4RX2.G,19,12,15,4,14,5,0,0,0,0,0,0,0
3GMW.C,13,13,16,0,0,7,20,7,0,0,0,5,0
7U6Q.C,17,17,21,12,4,10,0,9,0,0,0,5,0
7QLP.D,21,14,18,17,5,4,3,10,0,0,0,0,0
5I52.D,16,16,16,16,4,6,8,7,0,0,0,0,0
5HW1.C,20,17,16,12,8,7,0,6,2,0,0,2,0
1ERQ.A,18,12,13,14,6,4,6,4,0,0,0,0,0
4ZJ2.A,20,14,14,4,0,7,0,0,0,0,0,8,0
1XXM.A,12,12,16,6,18,5,0,8,0,0,0,0,0
1AXB.A,14,14,16,15,5,5,5,4,4,0,0,0,0
4MEZ.A,26,15,17,11,4,10,3,10,0,0,0,0,0
4GKU.A,14,12,15,15,6,3,0,5,0,0,0,0,0
5KPU.B,22,22,15,16,0,8,0,7,0,0,0,0,0
4OP8.A,27,21,15,14,0,8,2,4,0,0,0,7,9
8DE1.D,26,22,17,14,2,9,2,6,0,0,0,0,0
8DE2.B,22,17,7,15,4,6,11,5,0,0,0,0,0
1XXM.B,11,7,18,15,19,4,0,4,0,0,0,0,0
6B2N.A,27,4,13,4,22,9,15,4,0,0,0,0,0
1HTZ.E,20,17,16,10,10,3,0,5,0,0,0,0,0
3TOI.B,18,18,9,14,0,9,3,10,2,0,0,0,0
4MEZ.B,17,16,16,13,3,9,5,9,3,0,0,0,0
1ESU.A,31,21,19,15,2,7,2,3,0,0,0,0,0
7U6Q.B,20,20,16,14,3,11,2,10,0,0,0,3,0
4OQG.B,22,13,15,11,5,6,3,0,3,0,0,0,0
3C7V.C,16,14,9,13,7,1,3,4,0,0,0,0,0
5HW5.D,24,20,17,12,4,8,3,6,0,0,0,0,0
7QNK.E,18,22,13,10,4,5,0,5,0,0,7,0,0
8DE1.C,21,20,16,13,3,8,2,7,0,0,0,3,0
1ERM.A,17,10,12,15,4,4,7,6,0,0,2,0,0
3C7U.C,22,20,13,9,4,5,0,2,0,0,0,2,0
4ID4.A,18,21,0,7,14,6,0,0,0,0,6,0,0
5HW1.D,16,16,18,12,7,10,0,11,0,0,0,0,0
8DE0.B,18,16,17,15,5,7,4,10,0,0,0,3,0
7QNK.A,19,19,14,6,17,4,0,0,0,0,2,0,0
4OQ0.A,24,12,14,19,12,2,0,3,0,0,0,5,0
7QNK.D,14,19,15,2,15,2,0,0,0,0,8,0,0
5HVI.D,19,19,17,15,7,6,0,6,0,0,0,0,0
4OP5.A,26,22,18,15,3,6,5,6,0,0,0,4,6
7QNK.F,18,21,12,11,5,5,0,4,0,0,8,0,0
