Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007,Binding Site 008,Binding Site 009,Binding Site 010,Binding Site 011
6CYG.A,21,26,5,0,6,4,0,0,0,0,0,0
6GQ6.A,27,26,7,0,6,0,0,0,4,4,1,0
4O07.A,24,24,7,0,3,0,0,0,0,0,2,0
6GP8.A,26,26,5,0,5,0,5,0,0,3,0,1
4EGI.A,28,23,8,0,5,2,0,0,0,7,3,0
7UR3.A,12,11,9,0,2,0,0,11,3,0,0,0
2WI2.B,28,28,5,0,4,2,0,0,2,0,2,0
1UYG.A,14,16,2,0,5,0,0,0,2,0,0,0
5OCI.A,19,19,11,0,0,0,0,0,0,0,0,1
2YE5.A,17,17,4,0,11,5,0,0,6,3,3,0
6LSZ.A,19,19,14,0,10,0,2,0,0,0,2,0
2BSM.A,33,31,8,0,11,2,0,2,4,3,3,1
3R91.A,21,21,7,0,4,2,0,0,0,0,0,0
3B28.A,20,25,11,0,3,2,0,0,0,0,0,0
5LNZ.A,21,22,8,0,2,0,0,0,0,0,0,0
3VHD.B,18,18,10,0,5,0,0,0,0,2,1,0
5J82.A,21,21,11,0,5,3,0,0,0,0,0,0
4W7T.A,29,29,3,0,3,0,0,0,2,0,0,0
1UY8.A,18,18,4,0,5,0,0,0,0,0,0,0
3VHD.A,32,32,9,0,7,2,0,0,0,0,0,0
5ZR3.E,14,18,11,0,0,0,0,0,0,0,0,0
4JQL.A,27,29,6,0,6,4,7,0,0,2,1,0
6LR9.A,25,22,1,0,4,0,0,0,0,0,0,0
7S8Y.A,16,14,3,0,12,4,0,0,2,4,3,1
6GPR.A,30,26,2,0,7,6,0,0,0,2,0,0
2XDK.A,26,26,9,0,9,2,0,0,1,9,4,0
6U99.A,20,23,3,0,7,0,0,0,0,0,0,0
4YKZ.A,15,16,2,0,8,4,0,0,4,0,7,1
1YC4.A,17,22,9,0,6,6,0,0,0,0,0,0
4FCQ.A,15,14,7,0,12,3,0,4,5,2,7,1
2WI2.A,17,17,4,0,11,4,0,0,3,0,0,1
3B27.A,33,33,9,0,8,2,0,0,0,4,2,0
3HZ1.A,26,24,5,0,4,0,0,0,0,0,0,0
3T1K.B,19,19,6,0,7,3,0,0,2,0,10,0
6GPH.A,28,28,7,0,4,0,7,0,2,2,0,6
8B7J.A,13,11,1,16,0,6,2,15,8,0,0,3
4CWT.A,22,20,3,0,4,2,0,0,2,0,2,0
2XK2.A,18,18,7,0,8,0,0,0,0,8,3,0
2BYI.A,29,30,6,0,3,3,0,0,2,5,2,0
2YE8.A,17,19,4,0,2,0,0,0,0,0,0,0
2BYH.A,34,32,9,0,9,2,0,0,2,5,2,0
6B9A.A,20,20,5,0,6,0,0,0,0,2,1,0
5ZR3.C,22,22,8,0,6,5,0,0,0,0,0,0
2BZ5.B,19,18,8,0,8,0,0,0,3,0,0,3
6EY9.A,22,25,19,0,0,2,0,0,0,0,0,0
2YI7.A,29,28,6,0,11,2,0,0,2,0,0,1
1UY6.A,24,24,4,0,5,0,0,0,0,0,0,0
6GQS.A,28,28,6,0,4,0,11,0,2,7,1,0
2CCU.A,21,21,3,0,11,2,0,0,0,3,3,0
6GP4.A,30,30,5,0,11,8,0,0,4,0,4,0
4FCP.B,13,23,3,0,8,2,0,0,0,0,0,0
5M4H.A,18,18,1,0,15,6,0,2,4,0,6,0
5J8M.B,28,28,10,0,5,1,0,0,0,0,2,1
1UYK.A,25,24,12,0,6,0,0,0,0,0,0,0
4YKW.B,18,17,7,0,4,4,3,1,2,5,3,0
2XJG.A,17,16,8,0,9,0,0,0,1,0,2,0
4EGK.A,19,16,8,0,4,3,0,0,0,5,1,0
5LO0.A,27,22,15,0,4,0,0,0,0,0,0,0
5LNY.A,16,24,10,0,2,0,0,0,0,0,0,0
2VCI.A,15,15,10,0,10,2,0,1,7,4,5,0
2YI6.A,16,16,9,0,11,4,0,0,2,2,5,0
8AGL.B,21,17,11,0,0,3,0,5,9,5,3,0
4YKW.A,18,18,8,0,7,3,0,0,0,3,2,0
4YKU.A,18,15,8,0,11,3,0,0,4,4,4,0
4YKQ.A,30,30,8,0,10,2,0,0,2,0,0,0
2YE9.A,19,19,9,0,10,6,0,0,0,0,0,0
6ELO.A,16,16,12,0,8,4,0,0,5,0,6,2
1YES.A,26,26,4,0,10,0,0,0,2,9,6,0
3WHA.B,24,20,12,0,5,0,0,0,0,0,0,0
5J6L.A,22,22,6,0,9,0,0,0,0,3,3,0
6GPO.A,28,28,6,0,2,0,9,0,3,4,0,5
6B99.A,22,22,4,0,5,0,0,0,0,2,1,0
2WI3.A,21,19,2,0,11,4,2,0,1,0,2,0
6GQR.A,24,24,6,0,8,0,0,0,0,10,7,0
3B25.A,14,21,8,0,6,2,0,0,0,0,0,0
5J8M.A,19,19,7,0,11,0,0,0,5,0,5,0
1UYD.A,18,18,6,0,2,0,0,0,0,0,0,0
6GR1.A,19,19,6,0,8,2,10,0,0,6,1,0
4AWQ.B,13,15,5,0,5,4,0,0,1,4,4,0
1UY7.A,19,22,6,0,5,0,0,0,2,0,0,0
6GR5.A,19,14,7,0,9,0,0,0,0,6,1,0
3B28.B,27,27,6,0,8,2,0,0,0,0,0,0
3B26.A,17,18,9,0,4,0,0,0,4,0,0,0
4NH7.B,16,18,7,0,4,0,0,0,3,0,0,0
4L91.A,21,18,3,0,7,0,0,0,0,0,0,0
1UYC.A,19,20,6,0,6,0,0,0,0,0,0,0
5LO6.A,16,19,13,0,5,0,0,0,0,0,0,0
3WQ9.A,14,19,3,0,0,0,0,0,0,0,0,0
5XRD.A,20,20,13,0,9,0,0,0,6,0,3,0
6LT8.A,21,21,12,0,6,0,0,0,0,0,0,0
2YEJ.A,25,25,3,0,3,0,0,0,0,0,0,0
2YEH.A,19,15,2,0,9,5,0,0,4,3,4,1
2YE7.A,16,16,6,0,5,2,0,0,0,0,0,0
4CWF.A,24,24,6,0,4,2,0,0,2,0,0,0
2YEE.A,16,20,6,0,0,0,0,0,0,0,0,0
2XDX.A,20,14,6,0,9,1,3,0,1,7,1,0
4AWQ.A,13,16,6,0,3,2,0,0,0,3,6,0
3FT5.A,28,28,2,0,10,3,0,0,4,0,2,1
6LTK.A,15,17,6,0,4,0,0,0,0,0,0,1
3BM9.A,21,21,8,0,9,7,0,0,6,0,2,0
4EGH.A,21,20,1,0,12,5,0,0,3,0,4,0
3T0Z.A,25,25,9,0,4,0,0,0,0,7,3,0
1UYE.A,15,19,6,0,2,0,0,0,0,0,0,0
