Structure,Binding Site 000,Binding Site 001,Binding Site 002
5D8J.A,19,19,10
3FR5.A,26,25,8
2QM9.A,23,23,6
5Y0G.A,19,18,6
1LIC.A,21,19,3
1A2D.B,24,22,3
6LJX.A,21,21,10
5Y13.A,20,17,4
2Q9S.A,25,23,7
1G7N.A,13,19,11
1ALB.A,24,21,3
1G74.A,20,20,5
5D4A.A,23,23,8
5Y0F.A,22,23,6
3P6H.A,22,21,8
5Y0X.A,18,19,9
6LJT.A,17,20,10
3JSQ.A,22,22,12
7WC3.A,21,20,6
5C0N.A,20,20,8
5D45.A,20,20,4
2QM9.B,26,25,8
3P6E.A,24,24,7
3JS1.B,22,20,4
1TOU.A,22,20,8
5D47.A,23,21,6
2ANS.A,24,21,8
3P6D.A,22,21,5
3P6F.A,23,22,6
3FR4.A,23,19,4
3FR2.A,20,19,5
3HK1.A,23,23,9
4NNS.A,20,18,7
1ADL.A,24,22,6
6LJU.A,24,22,9
6AYL.A,21,18,6
1LIF.A,20,20,4
1ACD.A,21,21,11
6LJS.A,23,22,10
1LIB.A,22,20,7
6LJV.A,21,19,8
4NNT.A,21,20,8
5Y12.A,20,20,6
2NNQ.A,13,16,11
3JS1.A,23,23,6
5EDC.A,20,18,6
1A2D.A,21,21,6
1LID.A,20,18,3
1A18.A,23,23,4
2ANS.B,22,14,7
5HZ6.A,23,22,10
6LJW.A,22,22,9
5C0N.B,20,20,11
5D48.A,24,23,11
2HNX.A,24,24,8
3P6G.A,25,19,4
5EDB.A,23,22,6
3P6C.A,25,24,8
3Q6L.A,20,21,9
1TOW.A,22,21,10
1AB0.A,20,20,10
1LIE.A,21,21,6
3RZY.A,23,23,6
