Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007,Binding Site 008,Binding Site 009
unrelaxed_model_2_ptm_pred_72,12,0,24,2,3,7,1,14,2,12
unrelaxed_model_4_ptm_pred_38,0,21,6,14,16,3,1,5,4,0
unrelaxed_model_2_ptm_pred_56,16,2,2,11,15,4,1,12,9,0
unrelaxed_model_1_ptm_pred_81,20,11,10,0,3,3,20,3,15,0
unrelaxed_model_1_ptm_pred_78,11,12,4,19,5,10,0,0,0,0
unrelaxed_model_5_ptm_pred_30,25,16,11,9,0,6,0,0,0,0
unrelaxed_model_2_ptm_pred_95,13,8,17,4,0,10,0,4,0,0
unrelaxed_model_4_ptm_pred_85,18,17,2,22,0,15,0,2,0,0
unrelaxed_model_4_ptm_pred_98,16,14,13,6,0,2,0,4,0,0
unrelaxed_model_1_ptm_pred_5,0,18,15,16,10,10,0,14,0,0
