Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006,Binding Site 007,Binding Site 008,Binding Site 009,Binding Site 010,Binding Site 011,Binding Site 012,Binding Site 013,Binding Site 014
5R95.A,21,24,9,7,10,0,0,0,0,0,5,2,0,6,0
5R9E.A,15,24,10,6,9,0,0,0,0,0,5,5,0,2,0
3MH3.A,13,11,9,3,11,3,4,0,0,0,0,0,2,0,0
4E5B.A,15,13,7,6,14,0,0,0,0,0,8,0,0,0,0
5MZ3.A,14,18,4,5,3,0,0,0,0,0,3,0,0,0,0
1DI9.A,14,23,7,9,8,0,0,0,0,0,6,2,0,2,0
3E93.A,15,20,6,7,10,0,0,0,0,0,6,0,0,0,0
5OMG.A,11,12,0,7,10,7,4,0,0,0,0,0,8,1,0
5R9T.A,12,14,2,6,10,10,6,0,0,0,4,4,0,7,0
3OBG.A,19,5,0,5,12,6,2,0,0,0,1,0,7,0,0
5N64.A,11,11,7,7,10,10,0,0,0,0,2,0,3,0,9
1KV1.A,16,21,11,5,11,0,0,0,0,0,3,0,4,0,0
4LOP.B,17,10,7,5,7,0,0,0,0,0,4,9,0,10,0
2BAL.A,18,9,4,8,4,0,4,0,0,0,3,0,12,4,0
3OEF.X,6,21,12,6,3,8,6,0,0,0,0,0,6,0,2
3PY3.A,21,0,19,9,9,0,0,0,0,0,6,0,0,0,0
2ZAZ.A,18,13,11,14,12,0,0,0,0,0,5,5,2,3,0
4LOP.D,15,13,2,5,8,0,0,0,0,0,4,4,0,6,0
3FMM.A,18,8,1,14,12,0,13,0,0,0,1,0,0,5,0
3FMJ.A,14,6,5,16,12,0,0,0,0,0,5,0,5,2,0
5N66.A,25,19,4,0,0,8,0,0,0,0,7,0,5,0,7
3RIN.A,17,4,19,5,11,0,7,0,0,0,8,0,0,0,0
3C5U.A,8,10,11,3,10,10,13,0,0,0,0,0,0,0,3
3HLL.A,20,4,2,13,0,5,6,0,0,0,3,0,2,2,1
5RA7.A,18,21,1,6,9,0,0,0,0,0,3,2,0,10,0
3MGY.A,15,10,8,4,10,8,0,0,0,0,2,0,0,0,2
3ZSG.A,6,15,17,6,12,5,0,0,0,0,6,0,2,0,0
4LOQ.B,14,19,7,3,10,0,3,0,0,0,0,0,0,11,0
5XYY.A,14,18,2,4,9,0,0,0,0,0,7,0,0,5,0
5ETC.A,8,24,7,18,11,0,0,0,0,0,2,0,0,1,0
3DT1.A,18,16,0,7,10,0,0,0,0,0,3,0,0,12,0
3LHJ.A,22,3,1,8,11,0,8,0,0,0,2,0,3,2,0
5R9U.A,19,21,3,3,10,0,0,0,0,0,2,0,0,4,0
5UOJ.A,12,4,9,17,13,0,3,0,0,0,7,0,2,2,0
3FLN.C,16,6,0,2,11,0,15,0,0,0,3,0,3,2,0
4AAC.A,13,0,0,4,10,0,14,0,0,0,2,0,12,0,0
3HV7.A,13,13,5,4,8,4,2,0,0,0,6,0,3,0,0
5ML5.A,10,14,10,8,8,9,0,0,0,0,6,0,0,0,2
3NWW.A,22,10,5,8,15,0,9,0,0,0,0,0,8,3,0
5R9N.A,17,10,8,6,13,0,0,0,0,0,3,10,2,10,0
3GCU.B,14,18,9,6,11,5,0,0,0,0,5,0,3,0,1
6Y4T.A,15,16,10,3,8,0,0,0,0,0,5,0,3,0,0
3HV4.A,13,14,11,4,8,4,0,0,0,0,2,0,0,0,1
1LEW.A,20,18,8,6,8,0,5,0,0,0,5,0,0,2,0
3FLY.A,21,10,2,21,13,0,0,0,0,0,1,0,0,4,0
1WBO.A,14,9,8,15,10,4,5,0,0,0,0,0,5,6,0
2RG6.A,13,2,15,6,12,0,0,0,0,0,9,0,13,0,0
3GCU.A,17,19,9,4,8,3,0,0,0,0,4,0,2,0,0
7BE4.A,21,17,9,5,10,0,0,0,0,0,6,0,0,0,0
3HV5.A,13,19,7,3,6,3,0,0,0,0,5,0,0,0,0
6TCA.H,14,0,18,10,7,0,0,0,0,0,9,0,0,0,0
4AA4.A,23,3,0,7,6,0,8,0,0,0,1,5,12,1,0
3MPA.A,15,8,8,3,11,8,6,0,0,0,3,0,2,0,3
4KIP.B,14,21,0,2,9,0,0,0,0,0,3,0,3,0,0
5R9S.A,13,20,3,7,11,6,0,0,0,0,4,4,0,5,0
4EH4.A,23,16,4,7,9,2,0,0,0,0,1,0,0,1,1
4EWQ.A,16,7,5,4,10,4,0,0,0,0,0,3,0,0,4
6HWV.A,10,11,13,6,10,7,5,0,0,0,3,0,2,0,3
1BL6.A,17,8,8,19,11,0,0,0,0,0,2,0,2,1,0
4F9W.A,21,15,7,3,9,3,6,0,0,0,0,0,0,0,2
5TCO.A,20,7,2,2,5,10,8,12,0,0,2,0,0,0,4
3O8P.A,15,19,4,4,10,3,0,0,0,0,3,0,0,0,0
3MPT.A,20,5,3,9,12,0,0,0,0,0,3,3,0,3,0
2OKR.A,15,5,5,8,12,0,2,0,0,0,4,0,0,1,0
6ZQS.A,15,6,19,8,9,0,7,0,0,0,2,0,0,2,0
5R99.A,15,12,12,6,9,0,2,0,0,0,4,6,0,8,0
5R9G.A,12,16,13,0,10,0,0,0,0,0,0,6,0,12,0
5RA3.A,15,8,1,8,12,0,0,0,0,0,4,10,0,7,0
3ZYA.A,21,15,13,7,10,0,11,0,0,0,6,0,0,0,0
1OZ1.A,15,19,0,12,7,0,0,0,0,0,7,0,0,6,0
3MVL.B,21,7,0,6,14,0,0,0,0,0,1,0,7,3,0
5OMH.A,15,6,5,4,11,13,0,0,0,0,3,0,2,0,5
2FSO.X,16,22,2,5,10,5,5,0,0,0,3,0,0,0,0
4AA5.A,21,0,0,3,5,0,9,0,0,0,1,0,12,0,0
5RA6.A,12,14,0,4,11,0,0,0,0,0,4,11,0,0,0
3KF7.A,21,7,0,6,0,8,16,0,0,0,0,0,3,0,0
3GI3.A,15,22,7,4,2,0,3,0,0,0,7,0,3,0,0
