Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005,Binding Site 006
1IFT.A,17,14,14,2,0,0,3
7Y06.A,20,0,12,7,0,6,5
4HUO.X,16,8,16,5,0,6,2
5BOZ.C,25,21,16,2,13,0,1
7MLP.A,28,24,15,10,0,3,2
5GU4.B,17,19,19,6,0,0,0
4KUC.I,16,15,11,15,0,0,0
7KDM.A,20,14,15,13,0,0,0
6OCD.C,21,15,16,15,0,2,9
7Y08.A,14,14,17,8,0,0,4
7XZW.A,17,15,17,6,0,9,9
3PX8.X,21,22,17,11,0,8,0
4LGR.A,16,21,15,6,0,0,2
4MX1.A,27,21,17,3,0,9,7
6OBG.A,19,12,17,5,0,0,0
4HV7.X,16,3,16,5,0,3,8
6OBO.A,20,14,16,3,0,0,0
2P8N.A,17,10,16,5,0,2,11
7XZT.A,16,17,17,4,0,8,10
5BOZ.F,27,23,16,3,11,0,1
7TH3.A,26,21,15,0,0,0,2
7TGF.A,25,23,18,7,0,0,2
1IL4.A,21,14,14,3,0,0,7
7MLN.A,20,14,16,0,0,0,0
7XZU.A,21,4,14,6,0,5,11
1IL5.B,24,22,16,10,0,9,0
5BOZ.D,23,20,16,4,14,0,0
6URW.A,16,20,18,0,0,0,0
7KBK.A,15,21,18,8,0,0,1
7Y05.A,18,13,13,16,0,3,11
7XZS.A,20,7,17,4,0,4,7
4KUC.A,14,18,13,14,0,0,0
7KC9.D,20,12,4,10,0,11,2
4LGP.A,21,15,15,2,0,8,0
6CWG.A,21,13,18,8,0,0,0
1UQ5.A,19,20,19,6,0,2,0
5E1H.A,22,23,16,11,0,4,0
1IL5.A,16,11,16,0,0,12,0
5J56.A,28,26,23,2,0,4,2
1BR5.A,16,13,15,8,0,11,0
5U4M.A,19,13,21,9,0,0,0
1RZO.A,24,21,12,0,14,0,0
3EJ5.X,19,3,17,11,0,8,0
2AAI.A,16,12,19,0,0,3,4
5DDZ.A,21,21,17,2,0,3,3
7MLO.A,22,23,19,8,0,0,2
4LGP.C,20,21,20,4,0,10,2
2R2X.A,22,20,11,10,0,3,10
1BR6.A,14,15,17,0,0,14,0
4HUP.X,22,8,16,5,0,6,6
2PJO.A,23,21,13,0,0,0,9
2VC4.A,15,14,17,11,0,2,11
1IFU.A,15,16,14,3,0,0,11
7Y4M.A,16,10,16,4,0,8,0
7MLT.A,19,20,17,0,0,0,0
4LHJ.A,26,24,14,9,0,2,4
7MLO.B,18,22,15,11,0,0,5
2R3D.A,19,21,8,6,0,0,13
6OCA.A,15,20,16,7,0,0,4
4MX5.X,17,18,15,7,0,6,12
7KDU.A,29,24,19,5,0,0,0
6URY.B,17,19,20,8,0,3,0
6URY.A,26,24,21,3,0,11,0
3RTJ.A,25,17,17,3,0,0,12
1UQ4.A,27,24,17,10,0,4,0
1IL9.A,23,7,11,2,0,14,4
6OBG.B,17,7,10,13,0,0,8
3SRP.A,23,12,15,0,0,0,0
6OCA.B,26,23,23,14,0,0,0
1RTC.A,25,25,13,0,0,4,4
1J1M.A,23,16,18,4,0,0,0
7KBI.A,28,22,15,10,0,0,0
5BOZ.B,24,20,13,4,14,0,1
6OBO.B,21,21,15,4,0,0,0
1OBT.A,16,13,14,5,0,0,2
7TH2.B,16,15,13,11,0,0,3
7KD0.A,30,23,15,10,0,0,5
6OBC.A,28,21,14,6,0,2,4
5GU4.A,17,22,19,6,0,0,2
5J57.A,28,24,19,7,0,3,0
7Y02.A,16,3,12,7,0,5,4
3HIO.A,22,12,13,6,0,3,5
3RTI.A,17,19,12,2,0,0,13
7Y07.A,19,7,15,3,0,4,11
6OCD.A,18,9,16,18,0,0,10
5BOZ.A,23,20,16,3,15,0,0
1RZO.C,15,13,13,0,14,0,5
4LHQ.A,21,21,17,7,0,0,0
4Z9K.A,26,22,18,7,0,0,0
2VC3.A,19,18,19,12,0,4,12
7Y03.A,17,3,14,5,0,4,4
6URX.A,21,15,17,0,0,0,0
1IL3.A,16,10,16,11,0,7,4
7KDM.D,20,12,4,10,0,11,2
4LGS.A,23,25,18,11,0,0,1
7KD2.A,25,22,9,7,0,0,6
6CWG.C,28,26,17,8,2,0,1
1IFS.A,15,19,16,7,0,0,10
5U4L.A,16,19,22,0,0,0,4
1OBS.A,18,17,14,14,0,0,5
6OBE.A,19,14,13,6,0,0,0
3PX9.X,24,21,16,9,0,0,2
7TGI.A,16,23,17,0,4,0,0
6OBM.A,20,21,18,0,0,0,0
4Q2V.A,23,23,17,5,0,4,6
4HV3.A,17,16,17,10,0,3,7
7Y4K.A,15,8,16,9,0,6,0
4ESI.A,18,13,16,5,0,0,4
7TH2.A,27,25,16,10,0,11,0
5BOZ.E,24,21,14,6,14,0,1
4LHQ.C,24,13,17,9,0,0,3
7KC9.A,16,14,16,12,0,0,0
