Structure,Binding Site 000,Binding Site 001,Binding Site 002,Binding Site 003,Binding Site 004,Binding Site 005
4DUS.A,24,7,5,0,0,0
5QD5.C,19,6,4,0,0,0
4I1C.A,22,2,0,0,0,0
3U6A.B,21,0,0,0,0,0
3CIC.B,18,7,7,0,0,0
4FRS.B,19,5,5,0,0,0
2F3F.A,21,7,2,0,0,0
2VKM.C,19,3,3,0,0,0
4K8S.C,25,6,4,0,0,0
2G94.D,19,9,9,0,0,0
2FDP.B,18,0,0,0,0,0
3LPI.B,21,7,7,0,0,0
5MXD.C,20,0,0,0,0,0
4GID.C,20,4,5,0,0,0
3SKG.E,23,0,6,0,0,0
4H3I.A,21,3,4,0,0,0
3CID.B,19,7,7,0,0,0
3KN0.A,17,6,6,0,0,0
4YBI.A,18,4,7,0,0,0
2HIZ.B,21,6,2,0,0,0
5QCX.B,17,10,1,0,0,0
4GID.A,17,6,0,0,0,0
4DJV.A,22,3,5,0,0,0
5YGX.A,24,0,3,0,0,0
3SKF.B,15,8,8,0,0,0
5QCS.A,15,5,2,0,0,0
3KMX.A,21,6,6,0,0,0
4K8S.B,18,5,3,0,0,0
3LPJ.B,20,8,8,0,0,0
4I0H.A,18,4,0,0,0,0
6UVV.A,21,3,3,0,0,0
4FSL.E,22,3,4,0,0,0
4JOO.A,17,0,0,0,0,0
3DV5.A,20,12,2,0,0,0
2QP8.B,17,7,7,0,0,0
5QCQ.A,19,5,1,0,0,0
3H0B.B,20,0,0,0,0,0
5HTZ.A,24,3,5,0,0,0
1M4H.A,18,4,4,0,0,0
5V0N.B,18,14,1,0,0,0
2OHS.A,16,3,3,0,0,0
7B1E.A,20,16,2,0,0,0
1W51.A,18,12,11,0,0,0
3DM6.B,21,6,2,0,0,0
7DCZ.A,24,14,9,0,0,0
3K5F.C,18,12,5,0,0,0
3CKR.A,23,0,0,0,0,0
5QCU.A,23,16,6,0,0,0
2FDP.C,16,4,1,0,0,0
2VA5.A,13,12,12,0,0,0
3CKP.C,26,0,0,0,0,0
4DJX.A,24,5,5,0,0,0
3L5E.A,20,7,7,0,0,0
4FSE.B,24,4,4,0,0,0
1XN3.B,16,7,7,0,0,0
3PI5.B,20,7,2,0,0,0
5QDB.B,20,9,0,0,0,0
2OHU.A,24,4,2,0,0,0
5QCZ.C,21,13,6,0,0,0
6NV9.C,16,13,4,0,0,0
5QD5.A,14,9,3,0,0,0
5QDC.C,17,11,10,0,0,0
4LXA.A,19,7,4,0,0,0
4XXS.A,18,7,4,0,0,0
3R2F.A,20,1,0,0,0,0
5QCY.A,19,5,3,0,0,0
3UDQ.A,16,0,0,0,0,0
4GID.B,17,5,0,0,0,0
4LC7.A,24,4,0,0,0,0
2ZDZ.A,19,8,4,0,0,0
2QMD.A,19,8,7,0,0,0
1XN2.D,18,6,7,0,0,0
4D89.A,17,6,1,0,0,0
5QCO.A,20,5,1,0,0,0
3UDY.A,23,0,0,0,0,0
3IVI.B,18,16,3,0,0,0
6BFX.A,19,3,5,0,0,0
3SKG.B,20,0,0,0,0,0
3LPK.B,18,7,7,0,0,0
4H3F.B,25,6,6,0,0,0
3IXJ.C,19,7,3,0,0,0
4ACU.A,23,2,1,0,0,0
1YM2.A,17,5,2,0,0,0
3VF3.A,21,7,1,0,0,0
4XKX.A,22,5,4,0,0,0
5QD4.B,23,15,0,0,0,0
3CIB.B,22,7,7,0,0,0
4K8S.A,19,2,0,0,0,0
3S2O.A,15,7,7,0,0,0
3MSJ.B,24,0,0,0,0,0
4K9H.A,20,4,0,0,0,0
2G94.B,22,5,6,0,0,0
4LXM.B,21,9,3,0,0,0
4R91.A,18,5,5,0,0,0
5QD7.C,20,19,7,0,0,0
4FSL.B,22,5,6,0,0,0
2QU2.A,17,11,8,0,0,0
5QD6.B,19,10,4,0,0,0
5MXD.A,20,5,5,0,0,0
3WB4.A,27,1,1,0,0,0
4X7I.A,25,6,6,0,0,0
3VG1.A,20,7,3,0,0,0
3L38.A,20,11,4,0,0,0
5HDZ.A,27,7,7,0,0,0
2ZHT.A,18,20,11,0,0,0
4I0I.B,20,10,3,0,0,0
4I12.A,15,4,0,0,0,0
4D83.A,22,11,2,0,0,0
5HU0.A,19,5,6,0,0,0
5HD0.B,21,3,4,0,0,0
3K5C.C,21,16,10,0,0,0
4R92.A,16,2,4,0,0,0
6UVY.A,19,9,9,0,0,0
7B1Q.A,23,6,0,0,0,0
7MYU.B,24,2,2,0,0,0
6OD6.A,24,1,2,0,0,0
5QCT.B,18,10,5,0,0,0
5QD3.C,20,14,9,0,0,0
3IXJ.A,17,8,3,0,0,0
6BFW.A,18,1,4,0,0,0
7F1D.A,25,1,2,0,0,0
6UWV.A,17,6,6,0,0,0
2P4J.A,18,4,10,0,0,0
4JPE.A,17,0,0,0,0,0
3RTN.A,18,8,5,0,0,0
3CKP.A,20,1,2,0,0,0
7MYR.B,21,6,7,0,0,0
3K5G.B,18,4,0,0,0,0
1XN3.D,19,6,6,0,0,0
3KMY.A,23,4,5,0,0,0
4I10.A,25,0,0,0,0,0
3INH.A,24,8,2,0,0,0
3UQR.C,24,1,2,0,0,0
3RU1.A,20,11,6,0,0,0
2ZHV.A,17,10,10,0,0,0
4DI2.C,24,3,3,0,0,0
4D83.C,24,10,4,0,0,0
3L5F.A,17,4,6,0,0,0
2QMG.A,20,4,2,0,0,0
5HE5.A,23,5,5,0,0,0
2OHN.A,20,13,12,0,0,0
3LNK.A,18,7,7,0,0,0
4TRW.B,16,8,11,0,0,0
4FS4.A,20,7,7,0,0,0
6JSF.A,16,0,0,0,0,0
3S7L.A,13,14,3,0,0,0
4KE1.A,15,3,3,2,2,1
5QDA.A,17,8,3,0,0,0
4HA5.A,30,4,5,0,0,0
4I0E.A,25,0,0,0,0,0
6UWP.B,16,7,7,0,0,0
6BFD.A,15,8,8,0,0,0
4DJY.A,24,3,4,0,0,0
5CLM.A,21,8,6,0,0,0
6DHC.A,22,20,2,0,0,0
4R93.A,27,5,7,0,0,0
5I3X.A,22,4,6,0,0,0
4PZW.A,22,3,0,0,0,0
5QCR.B,24,6,2,0,0,0
4ZSM.A,25,6,6,0,0,0
5QD3.A,22,13,6,0,0,0
3UQR.A,14,0,0,0,0,0
3CKR.C,20,3,2,0,0,0
6UVP.B,21,4,5,0,0,0
5QCY.B,20,8,5,0,0,0
1XS7.D,26,0,1,0,0,0
5KR8.A,20,0,0,0,0,0
5HE7.A,20,5,5,0,0,0
5HE4.A,20,5,5,0,0,0
6OD6.C,25,1,1,0,0,0
5QD7.A,20,18,10,0,0,0
3IGB.A,26,13,6,0,0,0
5QCU.C,20,6,0,0,0,0
4GID.D,19,3,5,0,0,0
5QD8.B,16,10,4,0,0,0
1SGZ.B,24,7,7,0,0,0
4ZSQ.A,18,2,4,0,0,0
5QD1.C,19,12,5,0,0,0
2ZHR.B,21,4,5,0,0,0
3QBH.B,21,7,3,0,0,0
3IXJ.B,18,6,7,0,0,0
1YM2.C,17,2,1,0,0,0
5QD0.B,18,12,5,0,0,0
6JSN.A,19,0,0,0,0,0
7MYI.B,21,3,3,0,0,0
3VV7.A,16,5,3,2,2,0
3DV5.C,19,11,4,0,0,0
3R1G.B,24,10,3,0,0,0
4I0H.C,19,16,7,0,0,0
5QCZ.A,22,12,1,0,0,0
3DUY.B,22,0,0,0,0,0
4I0J.A,32,0,0,0,0,0
6DHC.C,14,13,3,0,0,0
4ZSR.A,21,6,6,0,0,0
5QD1.A,16,10,3,0,0,0
3L5B.A,17,6,6,0,0,0
3OHH.A,19,6,6,0,0,0
2QK5.B,18,7,7,0,0,0
5QCW.C,15,10,8,0,0,0
6JT4.A,22,0,0,9,5,0
5HDX.A,18,2,3,0,0,0
3I25.B,17,8,4,0,0,0
4K9H.B,19,5,2,0,0,0
3KYR.A,18,13,9,0,6,9
2VA7.A,19,12,12,0,0,0
3L59.B,20,6,6,0,0,0
6NV9.A,18,8,5,0,0,0
4H1E.A,18,5,5,0,0,0
2ZE1.A,14,8,7,0,0,0
3DV1.C,16,9,6,0,0,0
3R2F.D,18,6,6,0,0,0
2VKM.A,18,4,10,0,0,0
5HU1.A,20,7,7,0,0,0
4K9H.C,15,3,2,0,0,0
3K5D.B,18,3,3,0,0,0
4GMI.A,17,13,4,0,0,0
5QD9.B,22,8,1,0,0,0
2FDP.A,17,3,3,0,0,0
5I3V.A,20,4,1,0,0,0
5QCS.C,17,5,4,0,0,0
4RRS.A,20,0,0,0,0,0
3K5F.A,17,15,3,0,0,0
2P83.A,25,13,5,0,0,0
5QCV.B,21,5,0,0,0,0
4DJW.A,18,3,4,0,0,0
2QMF.A,14,6,6,0,0,0
3N4L.B,20,7,0,0,0,0
4KE0.B,18,14,7,0,0,0
5QDC.A,18,7,4,0,0,0
5T1W.A,22,2,2,0,0,0
4D8C.B,19,15,5,0,0,0
2F3F.C,18,4,3,0,0,0
4JPC.A,24,0,0,0,0,0
5QDD.B,16,14,8,0,0,0
1YM4.B,19,2,2,0,0,0
2OHL.A,17,10,10,0,0,0
2P83.C,17,11,9,0,0,0
5HDV.B,21,6,6,0,0,0
3NSH.B,20,10,3,0,0,0
5DQC.A,17,13,6,0,0,0
4DJU.A,20,6,6,0,0,0
4H3G.B,20,5,5,0,0,0
3L3A.A,19,6,3,0,0,0
3IXK.C,21,4,2,0,0,0
1SGZ.D,17,3,3,0,0,0
4R8Y.A,20,4,4,0,0,0
6NW3.B,14,18,4,0,0,0
3IVH.A,18,20,5,0,0,0
3K5C.A,23,16,12,0,0,0
